filename,class
0.jpg,77
1.jpg,75
2.jpg,77
3.jpg,51
4.jpg,75
5.jpg,75
6.jpg,41
7.jpg,75
8.jpg,77
11.jpg,50
13.jpg,41
14.jpg,77
15.jpg,75
16.jpg,1
19.jpg,77
20.jpg,75
21.jpg,75
23.jpg,41
24.jpg,77
25.jpg,51
26.jpg,75
27.jpg,77
28.jpg,77
29.jpg,41
31.jpg,75
32.jpg,77
33.jpg,77
35.jpg,75
36.jpg,75
37.jpg,51
38.jpg,75
39.jpg,75
40.jpg,41
41.jpg,77
42.jpg,18
43.jpg,77
44.jpg,1
46.jpg,41
47.jpg,75
48.jpg,77
49.jpg,75
50.jpg,75
55.jpg,6
56.jpg,22
57.jpg,77
59.jpg,75
60.jpg,75
61.jpg,75
62.jpg,77
63.jpg,77
66.jpg,18
67.jpg,1
68.jpg,41
70.jpg,75
71.jpg,1
72.jpg,8
73.jpg,77
74.jpg,75
75.jpg,77
76.jpg,41
77.jpg,75
78.jpg,41
79.jpg,41
82.jpg,75
83.jpg,1
84.jpg,77
85.jpg,75
88.jpg,51
89.jpg,77
91.jpg,77
93.jpg,1
95.jpg,77
97.jpg,77
98.jpg,77
99.jpg,75
100.jpg,41
101.jpg,77
102.jpg,77
103.jpg,77
104.jpg,77
105.jpg,22
107.jpg,75
108.jpg,77
109.jpg,41
